"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
57,1,1743-06-27 00:00:00,1743-06-28 00:00:00,1743-06-27 00:00:00,1743-06-28 00:00:00,1440,0,FALSE
58,1,1745-05-11 05:00:00,1745-05-11 05:00:00,1745-05-11 13:00:00,1745-05-11 13:00:00,480,480,FALSE
59,1,1745-06-04 04:00:00,1745-06-04 04:00:00,1745-06-04 11:00:00,1745-06-04 11:00:00,420,420,FALSE
60,1,1745-09-30 07:00:00,1745-09-30 07:00:00,1745-09-30 11:00:00,1745-09-30 11:00:00,240,240,FALSE
61,1,1745-12-14 14:00:00,1745-12-14 14:00:00,1745-12-14 17:00:00,1745-12-14 17:00:00,180,180,FALSE
62,1,1745-09-21 04:30:00,1745-09-21 04:30:00,1745-09-21 04:40:00,1745-09-21 04:40:00,10,10,FALSE
63,1,1746-04-16 13:10:00,1746-04-16 13:10:00,1746-04-16 13:50:00,1746-04-16 13:50:00,40,40,FALSE
64,1,1756-10-01 11:00:00,1756-10-01 11:00:00,1756-10-01 15:00:00,1756-10-01 15:00:00,240,240,FALSE
65,1,1757-05-06 11:00:00,1757-05-06 11:00:00,1757-05-06 15:00:00,1757-05-06 15:00:00,240,240,FALSE
66,1,1757-06-23 08:00:00,1757-06-23 08:00:00,1757-06-23 17:00:00,1757-06-23 17:00:00,540,540,FALSE
67,1,1757-06-18 14:00:00,1757-06-18 14:00:00,1757-06-18 21:00:00,1757-06-18 21:00:00,420,420,FALSE
68,1,1757-07-26 09:00:00,1757-07-26 09:00:00,1757-07-26 16:00:00,1757-07-26 16:00:00,420,420,FALSE
69,1,1757-11-05 15:30:00,1757-11-05 15:30:00,1757-11-05 17:00:00,1757-11-05 17:00:00,90,90,FALSE
70,1,1757-12-05 13:00:00,1757-12-05 13:00:00,1757-12-05 16:00:00,1757-12-05 16:00:00,180,180,FALSE
71,1,1758-06-23 13:00:00,1758-06-23 13:00:00,1758-06-23 18:00:00,1758-06-23 18:00:00,300,300,FALSE
72,1,1758-08-25 10:00:00,1758-08-25 10:00:00,1758-08-25 19:30:00,1758-08-25 19:30:00,570,570,FALSE
73,1,1758-10-14 05:00:00,1758-10-14 05:00:00,1758-10-14 08:00:00,1758-10-14 08:00:00,180,180,FALSE
74,1,1759-04-13 00:00:00,1759-04-14 00:00:00,1759-04-13 00:00:00,1759-04-14 00:00:00,1440,0,FALSE
75,1,1759-08-01 06:00:00,1759-08-01 06:00:00,1759-08-01 11:00:00,1759-08-01 11:00:00,300,300,FALSE
76,1,1759-08-12 11:30:00,1759-08-12 11:30:00,1759-08-12 17:30:00,1759-08-12 17:30:00,360,360,FALSE
