"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration"
96,1,1792-09-20 12:10:00,1792-09-20 12:10:00,1792-09-20 12:10:00,1792-09-20 12:10:00,
97,1,1792-11-06 00:00:00,1792-11-07 00:00:00,1792-11-06 00:00:00,1792-11-07 00:00:00,
98,1,1793-03-18 00:00:00,1793-03-19 00:00:00,1793-03-18 00:00:00,1793-03-19 00:00:00,
99,1,1793-09-06 00:00:00,1793-09-07 00:00:00,1793-09-06 00:00:00,1793-09-07 00:00:00,
100,1,1793-10-15 00:00:00,1793-10-16 00:00:00,1793-10-15 00:00:00,1793-10-16 00:00:00,
101,1,1794-06-26 04:00:00,1794-06-26 04:00:00,1794-06-26 04:00:00,1794-06-26 04:00:00,
102,1,1796-05-10 18:30:00,1796-05-10 18:30:00,1796-05-10 18:30:00,1796-05-10 18:30:00,
103,1,1796-08-05 00:00:00,1796-08-06 00:00:00,1796-08-05 00:00:00,1796-08-06 00:00:00,
104,1,1796-08-11 00:00:00,1796-08-12 00:00:00,1796-08-11 00:00:00,1796-08-12 00:00:00,
105,1,1796-09-03 09:00:00,1796-09-03 09:00:00,1796-09-03 09:00:00,1796-09-03 09:00:00,
106,1,1796-11-15 00:00:00,1796-11-16 00:00:00,1796-11-15 00:00:00,1796-11-16 00:00:00,
107,1,1797-01-14 00:00:00,1797-01-15 00:00:00,1797-01-14 00:00:00,1797-01-15 00:00:00,
108,1,1798-07-21 15:30:00,1798-07-21 15:30:00,1798-07-21 15:30:00,1798-07-21 15:30:00,
109,1,1799-03-25 05:00:00,1799-03-25 05:00:00,1799-03-25 05:00:00,1799-03-25 05:00:00,
110,1,1799-04-16 06:30:00,1799-04-16 06:30:00,1799-04-16 06:30:00,1799-04-16 06:30:00,
111,1,1799-06-04 00:00:00,1799-06-05 00:00:00,1799-06-04 00:00:00,1799-06-05 00:00:00,
112,1,1799-08-15 03:00:00,1799-08-15 03:00:00,1799-08-15 03:00:00,1799-08-15 03:00:00,
112,2,1799-08-15 16:00:00,1799-08-15 16:00:00,1799-08-15 16:00:00,1799-08-15 16:00:00,
113,1,1799-09-24 00:00:00,1799-09-25 00:00:00,1799-09-24 00:00:00,1799-09-25 00:00:00,
114,1,1800-05-05 00:00:00,1800-05-06 00:00:00,1800-05-05 00:00:00,1800-05-06 00:00:00,
115,1,1800-06-14 09:00:00,1800-06-14 09:00:00,1800-06-14 09:00:00,1800-06-14 09:00:00,
115,2,1800-06-14 13:00:00,1800-06-14 13:00:00,1800-06-14 13:00:00,1800-06-14 13:00:00,
116,1,1800-12-03 08:00:00,1800-12-03 08:00:00,1800-12-03 08:00:00,1800-12-03 08:00:00,
117,1,1805-12-02 08:00:00,1805-12-02 08:00:00,1805-12-02 08:00:00,1805-12-02 08:00:00,
118,1,1806-10-14 06:00:00,1806-10-14 06:00:00,1806-10-14 06:00:00,1806-10-14 06:00:00,
119,1,1806-10-14 08:00:00,1806-10-14 08:00:00,1806-10-14 08:00:00,1806-10-14 08:00:00,
120,1,1807-02-08 08:00:00,1807-02-08 08:00:00,1807-02-08 08:00:00,1807-02-08 08:00:00,
121,1,1807-06-14 17:30:00,1807-06-14 17:30:00,1807-06-14 17:30:00,1807-06-14 17:30:00,
