isqno,name,war,war2,war3,cdb13_war,cdb13_theater,dbpedia,cow_warno,cow_warname,comment,sidea
52,OUDENARDE,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,Battle_of_Oudenarde,,,,A
53,MALPLAQUET,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,WAR OF THE SPANISH SUCCESSION,War of the Spanish Succession of 1701-1714,,Battle_of_Malplaquet,,,,A
54,PETERWARDEIN,AUSTRO-TURKISH WAR,"AUSTRO-TURKISH WAR, 1716-1718","AUSTRO-TURKISH WAR, 1716-1718",Austro-Turkish War of 1716–1718,,Battle_of_Petrovaradin,,,,B
55,MOLLWITZ,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Mollwitz,,,,B
56,CHOTUSITZ,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Chotusitz,,,,B
57,DETTINGEN,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Dettingen,,,,B
58,FONTENOY,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Fontenoy,,,,B
59,HOHENFRIEDBERG,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Hohenfriedberg,,,,A
60,SOOR,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Soor,,,,A
61,KESSELDORF,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,WAR OF THE AUSTRIAN SUCCESSION,War of the Austrian Succession of 1740-1748,,Battle_of_Kesselsdorf,,,,A
62,PRESTONPANS,JACOBITE REBELLION,JACOBITE REBELLION,JACOBITE REBELLION,Jacobite Rising of 1745,,Battle_of_Prestonpans,,,,B
63,CULLODEN,JACOBITE REBELLION,JACOBITE REBELLION,JACOBITE REBELLION,Jacobite Rising of 1745,,Battle_of_Culloden,,,,B
64,LOBOSITZ,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Lobositz,,,,A
65,PRAGUE,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Prague_(1757),,,,A
66,PLASSEY,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Plassey,,,,B
67,KOLIN,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Kolín,,,,A
68,HASTENBECK,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Hastenbeck,,,,B
69,ROSSBACH,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Rossbach,,,,B
70,LEUTHEN,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Leuthen,,,,A
71,CREFELD,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Krefeld,,,,A
72,ZORNDORF,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Zorndorf,,,,A
73,HOCHKIRCH,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Hochkirch,,,,B
74,BERGEN,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Bergen_(1759),,,,A
75,MINDEN,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Minden,,,,A
76,KUNERSDORF,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,Battle_of_Kunersdorf,,,,A
